"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2015","19,083.10","17,479.97","19,202.34","17,389.57","29.80B","9.75%"
"09/01/2015","17,388.15","18,763.72","18,777.47","16,901.49","31.33B","-7.95%"
"08/01/2015","18,890.48","20,540.21","20,946.93","17,714.30","37.28B","-8.23%"
"07/01/2015","20,585.24","20,291.05","20,850.00","19,115.20","33.18B","1.73%"
"06/01/2015","20,235.73","20,444.54","20,952.71","19,990.55","34.65B","-1.59%"
"05/01/2015","20,563.15","19,510.85","20,655.33","19,257.85","32.92B","5.34%"
"04/01/2015","19,520.01","19,129.75","20,252.12","18,927.95","30.47B","1.63%"
"03/01/2015","19,206.99","18,869.40","19,778.60","18,577.06","31.92B","2.18%"
"02/01/2015","18,797.94","17,536.61","18,865.39","17,271.87","29.75B","6.36%"
"01/01/2015","17,674.39","17,325.68","17,850.59","16,592.57","26.92B","1.28%"
"12/01/2014","17,450.77","17,475.10","18,030.83","16,672.94","29.63B","-0.05%"
"11/01/2014","17,459.85","16,732.85","17,520.54","16,713.37","31.55B","6.37%"
"10/01/2014","16,413.76","16,173.39","16,533.91","14,529.03","34.36B","1.49%"
"09/01/2014","16,173.52","15,454.59","16,374.14","15,440.99","25.30B","4.86%"
"08/01/2014","15,424.59","15,511.54","15,628.78","14,753.84","23.01B","-1.26%"
"07/01/2014","15,620.77","15,179.64","15,759.66","15,101.49","24.68B","3.03%"
"06/01/2014","15,162.10","14,777.51","15,442.67","14,777.51","27.15B","3.62%"
"05/01/2014","14,632.38","14,341.09","14,744.16","13,964.43","25.60B","2.29%"
"04/01/2014","14,304.11","14,870.51","15,164.39","13,885.11","25.75B","-3.53%"
"03/01/2014","14,827.83","14,666.93","15,312.60","14,203.21","30.12B","-0.09%"
"02/01/2014","14,841.07","14,788.56","15,094.54","13,995.86","33.90B","-0.49%"
"01/01/2014","14,914.53","16,147.54","16,164.01","14,764.57","37.35B","-8.45%"
"12/01/2013","16,291.31","15,659.74","16,320.22","15,112.54","31.51B","4.02%"
"11/01/2013","15,661.87","14,403.07","15,729.09","14,026.17","31.76B","9.31%"
"10/01/2013","14,327.94","14,517.98","14,799.28","13,748.94","30.95B","-0.88%"
"09/01/2013","14,455.80","13,438.07","14,817.50","13,407.53","29.09B","7.97%"
"08/01/2013","13,388.86","13,674.50","14,466.16","13,188.14","31.59B","-2.04%"
"07/01/2013","13,668.32","13,746.72","14,953.29","13,562.70","41.45B","-0.07%"
"06/01/2013","13,677.32","13,551.36","13,724.44","12,415.85","47.55B","-0.71%"
"05/01/2013","13,774.54","13,837.72","15,942.60","13,555.66","71.91B","-0.62%"
"04/01/2013","13,860.86","12,371.34","13,983.87","11,805.78","62.12B","11.80%"
"03/01/2013","12,397.91","11,464.71","12,650.26","11,464.71","42.52B","7.25%"
"02/01/2013","11,559.36","11,193.72","11,662.52","11,046.92","53.00B","3.78%"
"01/01/2013","11,138.66","10,604.50","11,145.38","10,398.61","43.36B","7.15%"
"12/01/2012","10,395.18","9,484.20","10,433.63","9,376.97","34.33B","10.05%"
"11/01/2012","9,446.01","8,931.71","9,492.91","8,619.45","26.87B","5.80%"
"10/01/2012","8,928.29","8,815.07","9,075.59","8,488.14","27.39B","0.66%"
"09/01/2012","8,870.16","8,836.61","9,288.53","8,646.03","24.04B","0.34%"
"08/01/2012","8,839.91","8,622.04","9,222.87","8,513.20","25.72B","1.67%"
"07/01/2012","8,695.06","9,103.79","9,136.02","8,328.02","24.58B","-3.46%"
"06/01/2012","9,006.78","8,465.47","9,044.04","8,238.96","25.49B","5.43%"
"05/01/2012","8,542.73","9,471.66","9,472.25","8,455.13","27.13B","-10.27%"
"04/01/2012","9,520.89","10,161.72","10,190.35","9,388.14","25.48B","-5.58%"
"03/01/2012","10,083.56","9,771.34","10,255.15","9,509.10","33.41B","3.71%"
"02/01/2012","9,723.24","8,789.06","9,866.41","8,780.10","34.56B","10.46%"
"01/01/2012","8,802.51","8,549.54","8,911.62","8,349.33","21.54B","4.11%"
"12/01/2011","8,455.35","8,581.20","8,729.81","8,272.26","20.86B","0.25%"
"11/01/2011","8,434.61","8,880.75","8,946.00","8,135.79","22.76B","-6.16%"
"10/01/2011","8,988.39","8,567.98","9,152.39","8,343.01","23.72B","3.31%"
"09/01/2011","8,700.29","9,017.01","9,098.15","8,359.70","26.64B","-2.85%"
"08/01/2011","8,955.20","9,907.04","10,040.13","8,619.21","34.29B","-8.93%"
"07/01/2011","9,833.03","9,878.69","10,207.91","9,824.34","24.51B","0.17%"
"06/01/2011","9,816.09","9,708.05","9,849.69","9,318.62","28.90B","1.26%"
"05/01/2011","9,693.73","9,964.39","10,017.47","9,406.04","24.76B","-1.58%"
"04/01/2011","9,849.74","9,757.28","9,849.74","9,405.19","29.91B","0.97%"
"03/01/2011","9,755.10","10,676.24","10,768.43","8,227.63","47.92B","-8.18%"
"02/01/2011","10,624.09","10,281.55","10,891.60","10,245.75","31.25B","3.77%"
"01/01/2011","10,237.92","10,352.19","10,620.57","10,182.57","27.36B","0.09%"
"12/01/2010","10,228.92","9,939.80","10,394.22","9,918.55","26.38B","2.94%"
"11/01/2010","9,937.04","9,166.85","10,157.97","9,123.62","27.36B","7.98%"
"10/01/2010","9,202.45","9,440.52","9,716.92","9,179.15","29.22B","-1.78%"
"09/01/2010","9,369.35","8,833.32","9,704.25","8,796.45","24.80B","6.18%"
"08/01/2010","8,824.06","9,574.64","9,750.88","8,807.41","25.52B","-7.48%"
"07/01/2010","9,537.30","9,296.86","9,807.36","9,091.70","29.38B","1.65%"
"06/01/2010","9,382.64","9,747.26","10,251.90","9,347.07","26.99B","-3.95%"
"05/01/2010","9,768.70","10,847.90","10,847.90","9,395.29","31.69B","-11.65%"
"04/01/2010","11,057.40","11,178.92","11,408.17","10,865.92","30.39B","-0.29%"
"03/01/2010","11,089.94","10,128.73","11,147.62","10,116.86","28.40B","9.52%"
"02/01/2010","10,126.03","10,212.36","10,449.75","9,867.39","24.86B","-0.71%"
"01/01/2010","10,198.04","10,609.34","10,982.10","10,198.04","34.61B","-3.30%"
"12/01/2009","10,546.44","9,281.82","10,707.51","9,233.20","33.35B","12.85%"
"11/01/2009","9,345.55","9,903.77","9,979.46","9,076.41","27.60B","-6.87%"
"10/01/2009","10,034.74","10,072.64","10,397.69","9,628.67","31.34B","-0.97%"
"09/01/2009","10,133.23","10,453.37","10,577.19","9,971.05","25.85B","-3.42%"
"08/01/2009","10,492.53","10,355.23","10,767.00","10,142.22","29.27B","1.31%"
"07/01/2009","10,356.83","9,889.34","10,359.07","9,050.33","33.93B","4.00%"
"06/01/2009","9,958.44","9,517.49","10,170.82","9,491.26","37.96B","4.58%"
"05/01/2009","9,522.50","8,848.84","9,522.50","8,827.13","30.07B","7.86%"
"04/01/2009","8,828.26","8,173.36","9,068.80","8,084.62","37.98B","8.86%"
"03/01/2009","8,109.53","7,454.28","8,843.18","7,021.28","33.77B","7.15%"
"02/01/2009","7,568.42","7,908.51","8,257.71","7,155.16","28.09B","-5.32%"
"01/01/2009","7,994.05","8,991.21","9,325.35","7,671.04","26.55B","-9.77%"
"12/01/2008","8,859.56","8,464.36","8,859.56","7,849.84","26.64B","4.08%"
"11/01/2008","8,512.27","8,702.77","9,521.24","7,406.18","28.50B","-0.75%"
"10/01/2008","8,576.98","11,396.61","11,456.64","6,994.90","42.67B","-23.83%"
"09/01/2008","11,259.86","12,936.81","12,940.55","11,160.83","29.06B","-13.87%"
"08/01/2008","13,072.87","13,276.57","13,468.81","12,631.94","24.43B","-2.27%"
"07/01/2008","13,376.81","13,514.86","13,603.31","12,671.34","26.59B","-0.78%"
"06/01/2008","13,481.38","14,342.96","14,601.27","13,453.35","28.26B","-5.98%"
"05/01/2008","14,338.54","13,802.59","14,392.53","13,540.68","27.00B","3.53%"
"04/01/2008","13,849.99","12,539.80","14,003.28","12,521.84","25.73B","10.57%"
"03/01/2008","12,525.54","13,412.87","13,413.63","11,691.00","28.21B","-7.92%"
"02/01/2008","13,603.02","13,517.74","14,105.47","12,923.42","29.16B","0.08%"
"01/01/2008","13,592.47","15,155.73","15,156.66","12,572.68","31.14B","-11.21%"
"12/01/2007","15,307.78","15,747.47","16,107.65","14,998.01","23.31B","-2.38%"
"11/01/2007","15,680.67","16,812.90","16,887.04","14,669.85","30.90B","-6.31%"
"10/01/2007","16,737.63","16,773.10","17,488.97","16,199.02","26.33B","-0.29%"
"09/01/2007","16,785.69","16,511.07","16,929.26","15,610.65","20.69B","1.31%"
"08/01/2007","16,569.09","17,169.20","17,274.33","15,262.10","3.20M","-3.94%"
"07/01/2007","17,248.89","18,139.04","18,295.27","17,042.66","2.64M","-4.90%"
"06/01/2007","18,138.36","17,949.92","18,297.00","17,591.93","2.73M","1.47%"
"05/01/2007","17,875.75","17,396.30","17,875.75","17,203.03","2.76M","2.73%"
"04/01/2007","17,400.41","17,346.25","17,782.08","16,999.05","2.60M","0.65%"
"03/01/2007","17,287.65","17,542.23","17,558.04","16,532.91","3.40M","-1.80%"
"02/01/2007","17,604.12","17,377.03","18,300.39","17,199.66","3.26M","1.27%"
"01/01/2007","17,383.42","17,322.50","17,617.64","16,758.46","2.67M","0.91%"
"12/01/2006","17,225.83","16,313.02","17,301.69","16,185.92","2.42M","5.85%"
"11/01/2006","16,274.33","16,338.72","16,512.51","15,615.56","2.14M","-0.76%"
"10/01/2006","16,399.39","16,169.00","16,901.53","16,028.32","2.21M","1.69%"
"09/01/2006","16,127.58","16,072.81","16,414.94","15,513.87","2.06M","-0.08%"
"08/01/2006","16,140.76","15,387.52","16,244.84","15,154.06","2.28M","4.42%"
"07/01/2006","15,456.81","15,573.35","15,710.39","14,437.24","2.09M","-0.31%"
"06/01/2006","15,505.18","15,603.25","15,789.31","14,045.53","2.53M","0.24%"
"05/01/2006","15,467.33","16,929.83","17,375.25","15,442.53","2.34M","-8.51%"
"04/01/2006","16,906.23","17,127.61","17,563.37","16,750.50","2.15M","-0.90%"
"03/01/2006","17,059.66","16,026.82","17,125.64","15,553.14","2.39M","5.27%"
"02/01/2006","16,205.43","16,594.90","16,777.37","15,389.58","2.77M","-2.67%"
"01/01/2006","16,649.82","16,294.65","16,754.60","15,059.52","2.68M","3.34%"
"12/01/2005","16,111.43","14,914.75","16,445.56","14,880.18","3.24M","8.33%"
"11/01/2005","14,872.15","13,718.21","15,013.24","13,706.33","3.47M","9.30%"
"10/01/2005","13,606.50","13,566.20","13,783.60","12,996.29","3.28M","0.24%"
"09/01/2005","13,574.30","12,501.43","13,678.44","12,498.40","3.27M","9.35%"
"08/01/2005","12,413.60","11,907.42","12,612.16","11,614.71","2.34M","4.32%"
"07/01/2005","11,899.60","11,573.37","11,913.50","11,540.93","1.43M","2.72%"
"06/01/2005","11,584.01","11,220.94","11,594.57","11,148.36","1.62M","2.73%"
"05/01/2005","11,276.59","10,954.21","11,302.52","10,788.59","1.45M","2.43%"
"04/01/2005","11,008.90","11,590.45","11,911.90","10,770.58","1.67M","-5.66%"
"03/01/2005","11,668.95","11,734.14","11,975.46","11,506.85","2.03M","-0.61%"
"02/01/2005","11,740.60","11,422.02","11,754.90","11,271.04","1.67M","3.10%"
"01/01/2005","11,387.59","11,458.27","11,580.69","11,212.63","1.62M","-0.88%"
"12/01/2004","11,488.76","10,790.45","11,500.95","10,721.59","1.44M","5.41%"
"11/01/2004","10,899.25","10,731.02","11,268.81","10,690.95","1.40M","1.19%"
"10/01/2004","10,771.42","10,893.19","11,410.40","10,575.23","1.59M","-0.48%"
"09/01/2004","10,823.57","11,104.85","11,357.85","10,737.78","1.67M","-2.33%"
"08/01/2004","11,081.79","11,274.45","11,279.71","10,545.89","1.48M","-2.15%"
"07/01/2004","11,325.78","11,933.33","11,988.12","11,018.79","1.37M","-4.50%"
"06/01/2004","11,858.87","11,204.69","11,887.95","10,963.56","1.70M","5.54%"
"05/01/2004","11,236.37","11,777.44","11,785.26","10,489.84","1.70M","-4.47%"
"04/01/2004","11,761.79","11,756.16","12,195.66","11,623.65","2.43M","0.40%"
"03/01/2004","11,715.39","11,112.68","11,869.00","11,045.94","2.43M","6.10%"
"02/01/2004","11,041.92","10,784.93","11,069.28","10,299.43","1.28M","2.40%"
"01/01/2004","10,783.61","10,787.83","11,193.64","10,665.15","1.44M","1.00%"
"12/01/2003","10,676.64","10,006.13","10,681.28","9,859.00","1.27M","5.70%"
"11/01/2003","10,100.57","10,693.66","10,869.35","9,614.60","1.27M","-4.35%"
"10/01/2003","10,559.59","10,232.57","11,238.63","10,173.54","1.96M","3.33%"
"09/01/2003","10,219.05","10,399.53","11,160.19","10,148.36","1.83M","-1.20%"
"08/01/2003","10,343.55","9,646.66","10,415.53","9,224.05","1.74M","8.16%"
"07/01/2003","9,563.21","9,097.61","10,070.11","9,078.74","1.89M","5.29%"
"06/01/2003","9,083.11","8,490.22","9,188.95","8,488.89","1.72M","7.82%"
"05/01/2003","8,424.51","7,804.03","8,461.73","7,745.69","","7.57%"
"04/01/2003","7,831.42","7,907.13","8,249.98","7,603.76","","-1.77%"
"03/01/2003","7,972.71","8,397.15","8,509.43","7,824.82","","-4.67%"
"02/01/2003","8,363.04","8,285.55","8,821.31","8,253.76","","0.28%"
"01/01/2003","8,339.94","8,669.89","8,829.06","8,237.03","","-2.79%"
"12/01/2002","8,578.95","9,208.61","9,320.11","8,256.52","","-6.91%"
"11/01/2002","9,215.56","8,651.67","9,294.10","8,246.53","","6.66%"
"10/01/2002","8,640.48","9,289.53","9,293.86","8,197.22","","-7.92%"
"09/01/2002","9,383.29","9,564.90","9,884.60","8,969.26","","-2.45%"
"08/01/2002","9,619.30","9,912.59","10,162.30","9,439.41","","-2.62%"
"07/01/2002","9,877.94","10,655.00","11,050.69","9,547.85","","-7.00%"
"06/01/2002","10,621.84","11,804.04","11,905.16","10,060.72","","-9.71%"
"05/01/2002","11,763.70","11,540.09","12,081.43","11,250.86","","2.36%"
"04/01/2002","11,492.54","11,106.07","11,812.99","10,896.12","","4.24%"
"03/01/2002","11,024.94","10,641.36","12,034.04","10,540.31","","4.13%"
"02/01/2002","10,587.83","10,026.96","10,798.67","9,420.85","","5.90%"
"01/01/2002","9,997.80","10,631.00","10,979.92","9,843.12","","-5.17%"
"12/01/2001","10,542.62","10,694.65","11,052.51","10,170.90","","-1.45%"
"11/01/2001","10,697.44","10,430.59","11,186.75","9,955.09","","3.19%"
"10/01/2001","10,366.34","9,766.75","11,052.01","9,604.09","","6.05%"
"09/01/2001","9,774.68","10,729.60","10,812.89","9,382.95","","-8.76%"
"08/01/2001","10,713.51","11,920.64","12,407.37","10,684.16","","-9.67%"
"07/01/2001","11,860.77","12,929.66","12,929.66","11,531.68","","-8.55%"
"06/01/2001","12,969.05","13,365.08","13,510.70","12,511.66","","-2.21%"
"05/01/2001","13,262.14","14,096.32","14,556.11","13,216.57","","-4.82%"
"04/01/2001","13,934.32","13,057.65","14,099.49","12,579.56","","7.19%"
"03/01/2001","12,999.70","12,811.52","13,867.58","11,433.88","","0.90%"
"02/01/2001","12,883.54","13,740.92","13,862.29","12,784.17","","-6.93%"
"01/01/2001","13,843.55","13,898.09","14,186.62","13,123.81","","0.42%"
"12/01/2000","13,785.69","14,600.53","15,273.40","13,182.51","","-5.89%"
"11/01/2000","14,648.51","14,557.45","15,602.39","14,172.64","","0.75%"
"10/01/2000","14,539.60","15,735.71","16,192.78","14,333.16","","-7.67%"
"09/01/2000","15,747.26","16,915.04","17,018.52","15,621.88","","-6.61%"
"08/01/2000","16,861.26","15,784.60","17,210.80","15,557.33","","7.21%"
"07/01/2000","15,727.49","17,451.65","17,661.11","15,394.71","","-9.67%"
"06/01/2000","17,411.05","16,320.08","17,511.32","16,289.92","","6.60%"
"05/01/2000","16,332.45","17,979.25","18,586.16","15,870.25","","-9.13%"
"04/01/2000","17,973.70","20,327.79","20,833.21","17,926.43","","-11.62%"
"03/01/2000","20,337.32","20,030.08","20,809.79","18,765.88","","1.89%"
"02/01/2000","19,959.52","19,536.68","20,046.14","19,266.96","","2.15%"
"01/01/2000","19,539.70","18,937.45","19,595.83","18,068.10","","3.20%"
